,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,Jakie korzyści niesie współpraca międzynarodowa dla studentów informatyki na PJATK?,"['�. Uczestniczą w działaniach kół naukowych, a także w seminariach i \nprojektach badawczych. Przykładowo, w  2015 roku jeden ze studentów  przygotował  pracę \nmagisterską realizowaną w ramach projektu WikiTeams (grant NCN).  Studenci są też \nwspółautorami publikacji naukowych (w 2014 roku – 3 publikacje, w 2013 roku – 1 \npublikacja). Biorą również udział , wraz ze swoimi mentoram i, w międzynarodowych \nkonkursach informatycznych . W 2015 roku drużyny z PJATK  wzięły udział w konkursie \nImagineCup, a projekt przygotowany przez jedną z drużyn , dotyczący unikalnego systemu \npozwalającego na odbycie spaceru przez osoby z uszkodzonym lub zerwanym  rdzeniem \nkręgowym, zakwalifikował się do grona 5 najlepszych projektów w kategorii „Citizenship ”.  \nStudenci kierunku „informatyka” biorą udział w projektach  wewnętrznych , \nwykorzystywan ych do wspomagania działalności Uczelni – m.in. w projekcie Gekko,  którego \ncelem jest stworzenie  platformy stanowiącej podstawę systemu zarządzania dydaktyką \n(projekt realizowany we  współpracy z najlepszymi studentami Katedry Baz Danych i Inżynierii \nOprogramowania ). ']","Studenci informatyki na PJATK korzystają z udziału w międzynarodowych konkursach informatycznych, takich jak ImagineCup, gdzie ich projekty mogą zdobyć uznanie i nagrody. Ponadto, współpraca międzynarodowa pozwala studentom na rozwijanie umiejętności, zdobywanie doświadczenia oraz poszerzanie horyzontów w dziedzinie informatyki.",multi_context,"[{'source': 'content/data2/Raport_z_wizytacji_PJATK_w_Warszawie.pdf', 'page': 12}]",True
1,Gdzie i do kiedy złożyć wniosek o stypendium socjalne przy urlopie wojskowym?,"['  \n       \n 7.2 Gdzie\ti\tdo\tkiedy\tpowinienem\tzłożyć\twniosek\to\tstypendium\tsocjalne?\tStypendia przyznawane są na cały rok akademicki.  Termin składania wniosków wraz z całą dokumentacją wyznaczany jest przez Uczelnianą Komisję Stypendialną i podawany do wiadomości studentów na początku każdego roku akademickiego. Zazwyczaj termin składania wniosków mija w połowie października. Wszelkie wnioski stypendialne składa się w Dziekanacie. 7.3 Jakie\tmuszę\tspełnić\twarunki,\tżeby\tdostać\tstypendium\tRektora\tdla\tnajlepszych\tstudentów?\tStypendium Rektora dla najlepszych studentów można otrzymać nie wcześniej niż po pierwszym roku studiów.  8 Urlopy\t\t8.1 W\tjakich\tprzypadkach\tmogę\tstarać\tsię\to\turlop\tw\tPJWSTK?\tJak\tmam\tto\tzrobić?\tNa wniosek studenta zgodnie z Regulaminem Studiów: 1) Student może otrzymać urlop od zajęć w Uczelni w przypadku ważnych okoliczności życiowych, w szczególności z powodu: a) długotrwałej choroby b) urodzenia dziecka i/lub konieczności opiekowania się nim c) innych ważnych i udokumentowanych okoliczności losowych 2) Studentowi może być udzielony urlop krótkoterminowy (semestralny) lub długoterminowy (roczny). Urlopu, na pisemny wniosek studenta, udziela Dziekan. Urlopu udziela się bezpośrednio po zaistnieniu okoliczności uzasadniających wniosek o jego udzielenie, urlopu nie udziela się wstecz. 3) Na czas odbywania czynnej służby wojskowej, student otrzymuje urlop specjalny. 4) Udzielenie urlopu stwierdza się wpisem do dokumentów rejestrujących przebieg studiów. 5) W szczególnie uzasadnionych przypadkach Dziekan może udzielić urlopu na okres dłuższy. 6) Udzielenie urlopu przedłuża termin planowanego ukończenia studiów i nakłada na studenta obowiązek zaliczenia różnic programowych. 7) W trakcie urlopu student jest zwolniony z obowiązku opłacania czesnego. 8) Nie udziela się urlopu na pierwszym roku studiów i po ukończeniu regulaminowego czasu trwania studiów. 9) W okresie urlopu student zachowuje uprawnienia studenckie z wyjątkiem prawa do']",O terminie składania wniosków o stypendium socjalne decyduje Uczelniana Komisja Stypendialna i zazwyczaj mija on w połowie października. Wnioski stypendialne należy składać w Dziekanacie.,multi_context,"[{'source': 'content/data2/FAQ Studenci.pdf', 'page': 8}]",True
2,Jaki cel ma elektroniczny system zbierania opinii i wniosków Suggester na Uczelni?,"['żystów \noraz praktykantów Uczelni. Wspomniany projekt może znacząco przyczynić się do rozwoju \nwewnętrznego systemu zapewnienia jakości kształcenia na Uczelni i na Wydziale . W celu \nusprawnienia przepływu informacji jesienią 2014 roku uruchomiono  elektroniczny  syste m \nzbierania opinii i wniosków Suggester , umożliwiający studentom i pracownikom zgłaszanie \npropozycji i zastrzeżeń . System ułatwia  kontakt z interesariuszami wewnętrznymi. \n \n  \n \n ']",Elektroniczny system zbierania opinii i wniosków Suggester na Uczelni ma na celu usprawnienie przepływu informacji oraz ułatwienie kontaktu z interesariuszami wewnętrznymi poprzez umożliwienie studentom i pracownikom zgłaszania propozycji i zastrzeżeń.,simple,"[{'source': 'content/data2/Raport_z_wizytacji_PJATK_w_Warszawie.pdf', 'page': 4}]",True
3,Jakie korzyści mogą wyniknąć z użycia CyberSkiller do nauki praktycznej?,"['Nauczanie praktyczneNauczanie praktyczne wymaga stworzenia odpowiedniego środowiska pracy, dlatego platforma CyberSkiller dostarcza gotowe do użycia praktyczne laboratoria dostępne w chmurze.Automatyczny system sprawdzaniaWszystkie praktyczne zadania laboratoryjne zostały zaprojektowane w taki sposób, aby Słuchacz otrzymał automatyczną informację, czy wykonał zdanie poprawnie. Wiadomości teoretyczne sprawdzane są automatycznie przy pomocy wbudowanego modułu quizów.Dostęp 24/7Praktyczne laboratoria znajdują się w chmurze, dlatego dostęp do nich studenci mają z dowolnego miejsca oraz w dowolnym czasie. Dzięki temu istnieje możliwość wykonywania zadań praktycznych wielokrotnie, bez konieczności przebywania wstacjonarnym laboratorium.Grywalizacja – System CTFCyberSkiller wprowadza elementy grywalizacji, czyli zdobywanie punktów, rankingów. Takie środowisko pracy pozwala zdobywać umiejętności i wiedzę zelementami zabawy. To podejście znacznie zwiększa atrakcyjność nauki.Małe bloki edukacyjneW odróżnieniu do tradycyjnego nauczania, CyberSkiller oferuje naukę poprzez krótkie bloki edukacyjne (ang. microlearning). Każda porcja edukacyjna ma na celu osiągnięcie określonej wiedzy oraz umiejętności.Zaawansowany system pomocyKażde zadanie praktyczne zostało rozwiązane przez eksperta wraz z jego omówieniem i jest dostępne w postaci materiału video na platformie. Materiał ten prezentuje konkretny sposób rozwiązania zadania, który może być powtórzony przez Słuchacza. Dodatkowo, każdy poruszany temat jest omówiony w formie teoretycznej i jest dostępny wpostaci dokumentu pdf.\nBioinformatyka']","Nauczanie praktyczne wymaga stworzenia odpowiedniego środowiska pracy, dlatego platforma CyberSkiller dostarcza gotowe do użycia praktyczne laboratoria dostępne w chmurze. Automatyczny system sprawdzania zapewnia informację zwrotną dla Słuchacza, czy wykonał zadanie poprawnie. Dostęp 24/7 do praktycznych laboratoriów pozwala studentom na wykonywanie zadań w dowolnym miejscu i czasie. Grywalizacja oraz elementy gry pozwalają zdobywać umiejętności w atrakcyjny sposób. Nauka poprzez małe bloki edukacyjne oraz zaawansowany system pomocy, który zawiera rozwiązania z omówieniem, również stanowią korzyści dla nauczycieli informatyki w szkole.",multi_context,"[{'source': 'content/data2/CentrumKsztalaceniaPodyplomowego-broszura_informacyjna.pdf', 'page': 6}]",True
4,Jakie jest zadanie organizacji studenckiej Erasmus Student Network?,"['Student ma prawo do świadczeń socjalnych, które są przyznawane przez komisję stypendialną, reprezentowaną w 100% przez studentów Uczelni. Komisja posiada również organ odwoławczy.   Komisje samorządowe •Komisja ds. kulturalnych • Komisja ds. promocji • Komisja ds. współpracy • Komisja ds. stypendialnych • Komisja ds. zagranicnzych  Wydziałowe Rady Samorządu Studenckiego • Wydział Informatyki • Wydział Zarządzania Informacją • Wydział Sztuki Nowych Mediów • Wydział Kultury Japonii  Działając w Samorządzie możesz liczyć na... • cenne doświadczenie • obniżki czesnego za studia • nieodpłatny udział w wydarzeniach organizowanych przez samorząd • możliwość uczestnictwa w wydarzeniach międzyuczelnianych  Koła naukowe, co i jak?  Koła studenckie to okazja do rozwijania wspólnych zainteresowań po godzinach.  Chcesz stworzyć koło naukowe? Nic trudnego. 10 zainteresowanych i 1 opiekun  Koła naukowe w PJATK: -Project Management -Data Science -Google Developer Student Network -ESN Erasmus Student Network -Programowanie urządzeń mobilnych -4MA Design -Otedama -Robolab -GameLab -XRLab  Erasmus Student Network to organizacja studencka wspierająca przyjeżdzających i wyjeżdzających na wymianę studentów, która działa w ponad 40 krajach Unii Europejskiej.  ']","Erasmus Student Network to organizacja studencka wspierająca przyjeżdzających i wyjeżdzających na wymianę studentów, która działa w ponad 40 krajach Unii Europejskiej.",simple,"[{'source': 'content/data2/Orientation Days_2023_PL.pdf', 'page': 5}]",True
5,Czy jest możliwość zmiany trybu studiów na PJWSTK i czy można zachować dostęp do programów komputerowych??,"[' \n       \n 14.8 Co\tto\tjest\tRepozytorium\tInstytucjonalne\tPJWSTK\t?\tJest to miejsce, w którym jest gromadzony i upowszechniany dorobek naukowo-dydaktyczny pracowników PJWSTK, wyniki badań naukowych z dziedzin reprezentowanych na uczelni oraz wybrane prace dyplomowe studentów.  Repozytorium powstało w ramach idei Otwartej Nauki. 14.9 Kto\tmoże\tkorzystać\tz\tzasobów\tRepozytorium\t?\tZasoby Repozytorium są dostępne bezpłatnie dla wszystkich. Nie ma potrzeby logowania w celu przeglądania dokumentów, wystarczy wejść na stronę  14.10 Kto\tmoże\tzamieszczać\tprace\tdyplomowe\tstudentów\tw\tRepozytorium?\t\tPrace dyplomowe deponują promotorzy tych prac. 15 Różne\t15.1 \tCo\tnależy\tzrobić,\taby\tzmienić\ttryb\tstudiów?\tW przypadku zmiany trybu studiów należy złożyć podanie oraz dokonać transferu ocen. Opłata za zmianę trybu studiów wynosi 200 złotych.  15.2 \tCo\tnależy\tzrobić,\taby\tzmienić\tWydział?\tW przypadku zmiany Wydziału ( za zgodą Dziekana aktualnego kierunku) należy złożyć podanie do Dziekana Wydziału, na który student pragnie się przenieść oraz dokonać transferu ocen. Opłata za zmianę Wydziału wynosi 200 złotych.  15.3 \tZgubiłem/łam\tna\tterenie\tuczelni\ttelefon/laptopa/dokumenty.\tGdzie\tpowinienem/nam\tsię\tudać?\tZaginięcie rzeczy należy zgłosić w Dziale Administracji lub na Portierni w danym budynku szkolnym. 15.4 \tCzy\tna\tterenie\tUczelni\tdziałają\tkoła\tnaukowe?\tJak\tsię\tdo\tnich\tdostać?\tTAK, w PJWSTK działa kilkanaście kół naukowych. By się do nich dostać, należy przyjść na spotkanie koła i dowiedzieć się o wymaganiach, zasadach w danym kole itp. Koła organizują zazwyczaj pierwsze spotkania w danym roku akademickim na początku roku akademickiego. Namiarami na wszystkie koła dysponuje Samorząd Studencki. 15.5 \tCzy\tna\tUczelni\tmożna\tuczęszczać\tna\tkursy\tdodatkowe?\tTak – PJWSTK organizuje liczne kursy i szkolenia, w tym dla studentów. Zajmuje się tym ACS (Akademickie Centrum Szkoleniowe). Szczegółowe informacje można uzys']","W przypadku zmiany trybu studiów na PJWSTK należy złożyć podanie oraz dokonać transferu ocen. Opłata za zmianę trybu studiów wynosi 200 złotych. Aby zachować dostęp do programów komputerowych, należy skontaktować się z odpowiednim działem administracyjnym uczelni.",multi_context,"[{'source': 'content/data2/FAQ Studenci.pdf', 'page': 13}]",True
6,Jakie kroki należy podjąć w przypadku niezaliczenia przedmiotu i chęci powtórzenia go w trybie ITN?,"[' \n       \n 3.8 Nie\tzaliczyłem/łam\tprzedmiotu\t(wykładu/ćwiczeń),\tco\tpowinienem/nam\tzrobić?\tW przypadku niezaliczenia przedmiotu należy złożyć podanie o powtarzanie tego przedmiotu w trybie ITN. Podanie takie należy złożyć przed semestrem, w którym ten przedmiot występuje (np. o ITN z przedmiotu występującego w semestrze zimowym podanie należy złożyć na początku września). 3.9 Powtarzam\tprzedmiot.\tPowinienem/nam\tchodzić\tz\tmłodszym\trocznikiem,\tczy\tbędzie\tutworzona\tspecjalna\tgrupa\tdla\tpowtarzających?\t\tDla niektórych przedmiotów są utworzone oddzielne grupy dla powtarzających. Informację o przedmiotach, dla których zostały utworzone oddzielne grupy ITN uzyskać można w Dziekanacie;  ogłoszenia o utworzeniu tego typu grup są też umieszczane na tablicy ogłoszeniowej.  W pozostałych przypadkach student korzysta z zajęć z młodszym rocznikiem. 3.10 Nie\tzgadzam\tsię\tz\totrzymaną\toceną.\tCzy\tmogę\tpoprosić\to\tzorganizowanie\tegzaminu\tkomisyjnego?\tStudent, który uważa, że nie uzyskał zaliczenia zajęć z powodu braku obiektywizmu prowadzącego, ma prawo w ciągu 7 dni zwrócić się do Dziekana z umotywowanym wnioskiem o sprawdzenie uzyskanych wyników.  W przypadku, o którym mowa w ust. 2, Dziekan powołuje komisję, w skład której wchodzi dwóch nauczycieli akademickich i Dziekan jako jej przewodniczący. Komisja podejmuje ostateczną decyzję w sprawie zaliczenia zajęć (patrz Regulamin Studiów § 17). 4 Seminaria,\tprace\tdyplomowe\ti\tegzaminy\tkońcowe\t4.1 Czy\tpracę\tinżynierską/licencjacką\tmuszę\tpisać\tz\ttej\tsamej\tspecjalizacji,\tktórą\twybrałem/łam?\tTak, pracę inżynierską/licencjacką piszemy z wybranej specjalizacji. 4.2 Czy\tpracę\tmagisterską\tmuszę\tpisać\tz\ttej\tsamej\tspecjalizacji,\tktórą\twybrałem/łam?\tTak, pracę magisterską piszemy z wybranej specjalizacji. 4.3 Czy\tpracę\tinżynierską/licencjacką/magisterską\tmogę\tpisać\tw\tjęzyku']","W przypadku niezaliczenia przedmiotu należy złożyć podanie o powtarzanie tego przedmiotu w trybie ITN przed rozpoczęciem semestru, w którym ten przedmiot występuje. Na przykład, jeśli chodzi o przedmiot występujący w semestrze zimowym, podanie należy złożyć na początku września.",simple,"[{'source': 'content/data2/FAQ Studenci.pdf', 'page': 4}]",True
7,Czy absolwenci PJWSTK mogą zachować dostęp do konta pocztowego po zakończeniu studiów?,"[' \n       \n 15.6 Czy\tjest\tmożliwość\twypożyczenia\tszkolnego\tsprzętu\telektronicznego?\tTak, taką możliwość wypożyczenia szkolnego sprzętu elektronicznego (kamery, aparatu fotograficznego, rzutnika, radia) mają studenci przygotowujący pracę dyplomową lub dany projekt naukowy. W tym celu należy złożyć podanie do Dyrektora Administracyjnego podpisane przez promotora lub prowadzącego projekt studencki.  15.7 Czy\tistnieje\tmożliwość\tpobrania\ti\tkorzystania\tz\tlicencjonowanych\tprogramów\t(Windows,\tMS\tOffice,\tPhotoshop\titd.)?\tNa podstawie umowy PJWSTK z firmą Microsoft każdy student może pobrać aplikacje potrzebne do projektów, do zainstalowania na domowych komputerach. W praktyce wygląda to tak, że może pobrać i używać systemów operacyjnych i aplikacji Microsoft podczas, a nawet po zakończeniu studiów. Znajdują się tam różne wersje systemów operacyjnych oraz aplikacji wielu zastosowań. Niestety, nie ma tam pakietu Microsoft Office, ale jest on dostępny na wszystkich komputerach laboratoryjnych. Więcej szczegółów opisanych jest w EULA dostępnym przed pobraniem każdej aplikacji. Aby pobrać jakikolwiek program należy wejść na stronę: zalogować się przy użyciu loginu i hasła z domeny szkolnej. 15.8 Czy\tpo\tskończonych\tstudiach\tmogę\tzachować\tkonto\tpocztowe?\tAbsolwenci PJWSTK zachowują dostęp do konta studenckiego: poczty, Wi-Fi, osobistego dysku, wirtualnego dziekanatu oraz systemu elektronicznego składania podań. 15.9 Czy\tjest\tmożliwość\tkorzystania\tz\tsal\tlaboratoryjnych\tpoza\tzajęciami?\tTak, z wolnych w tym czasie sal laboratoryjnych można korzystać na przykład w ramach zajęć dodatkowych. Decyzję w tej sprawie podejmuje Dziekan Wydziału w porozumieniu z Prowadzącym zajęcia. W tym celu dokonywana jest rezerwacji sali u Pełnomocnika Rektora ds. planowania dydaktyki . W przypadku kiedy studenci sami korzystają z sali (za zgodą Dziekana oraz prowadzącego zajęcia) wymagane jest upoważnienie do odbioru klucza dla studenta.      \t ']","Absolwenci PJWSTK zachowują dostęp do konta studenckiego: poczty, Wi-Fi, osobistego dysku, wirtualnego dziekanatu oraz systemu elektronicznego składania podań.",simple,"[{'source': 'content/data2/FAQ Studenci.pdf', 'page': 14}]",True
8,Czy istnieje obowiązek dotyczący realizacji praktyk studenckich w Polsko-Japońskiej Akademii Technik Komputerowych?,"['      REGULAMI N PRAKTYK STUDE NCKICH W POLSKO - JAPOŃSKIEJ AKADEMII TECH NIK KOMPUTEROWYCH   Rozdział 1.   Postanowienie ogólne     Obowiązek realizacji praktyk studenckich dotyczy studentów studiów stacjonarnych, niestacjonarnych pierwszego stopnia oraz wszystkich studentów studiów pierwszego i drugiego stopnia dla Wydziału Zarządzania Informacją. Dla każdego kierunku studiów obowiązuje kierunkowe sprawozdanie z praktyk studenckich,  Sprawozdanie z praktyk uwzględnia w szczególności:  a) cel praktyk;  b) kierunkowe efekty kształcenia właściwe dla praktyk na danym kierunku;  c) metody i sposoby weryfikacji efektów kształcenia i oceny;  d) ogólny wymiar praktyk.  Rozdział 2.  Organizacja praktyk   Nadzór nad organizacją i oceną praktyk ze strony Polsko – Japońskiej Akademii Technik Komputerowych sprawuje Pełnomocnik Rektora ds. Praktyk Studenckich.  ']","Obowiązek realizacji praktyk studenckich dotyczy studentów studiów stacjonarnych, niestacjonarnych pierwszego stopnia oraz wszystkich studentów studiów pierwszego i drugiego stopnia dla Wydziału Zarządzania Informacją.",simple,"[{'source': '../../content/data2/Regulamin_Praktyk_Studenckich.pdf', 'page': 0}]",True
9,Jakie są wymagania dotyczące zaliczenia praktyk dla studentów kierunku informatyka?,"['stawienie sprawozdania \nz praktyki, które zawiera opis zakresu powierzonych obowiązków i przebieg u praktyki. Daje \nto podstawy do stwierdzenia, że uzyskanie efektów kształcenia przypisanych do praktyki, w \ntym nabycie umiejętności praktycznych, jest weryfikowane przez zaliczającego praktykę.  \nWymiar czasu praktyk dla studentów kierunku „informatyka ”, którzy rozpoczęli studia po \nroku 2008/2009 wynosi 160 godzin. Warunkiem zaliczenia praktyki jest przedstawienie \nsprawozdania z jej odbycia oraz uzyskanie pozytywnej oceny dokonanej przez opiekuna \npraktyki wyznaczonego przez pracodawcę.   ']",Wymagania dotyczące zaliczenia praktyk dla studentów kierunku informatyka obejmują przedstawienie sprawozdania z odbycia praktyki oraz uzyskanie pozytywnej oceny dokonanej przez opiekuna praktyki wyznaczonego przez pracodawcę.,simple,"[{'source': '../../content/data2/Raport_z_wizytacji_PJATK_w_Warszawie.pdf', 'page': 7}]",True
